# ----------------------------------------
# 보고서 개요
# 계정: lucaus website project
# 속성: lucaus
# ----------------------------------------
#  
# 시작일: 20251104
# 종료일: 20251201
활성 사용자,새 사용자 수,활성 사용자당 평균 참여 시간,이벤트 수
43,42,18.27906976744186,336

#  
# 시작일: 20251104
# 종료일: 20251201
페이지 제목 및 화면 클래스,조회수,활성 사용자,이벤트 수,이탈률
2025 LUCAUS : 청람,156,43,336,0.0196078431372549

#  
# 시작일: 20251104
# 종료일: 20251201
첫 사용자 소스 / 매체,활성 사용자
(direct) / (none),29
google / organic,10
github.com / referral,1
ifnf.ratraiser.online / referral,1
l.instagram.com / referral,1
m.facebook.com / referral,1

#  
# 시작일: 20251104
# 종료일: 20251201
세션 소스/매체,세션수
(direct) / (none),32
google / organic,11
github.com / referral,5
ifnf.ratraiser.online / referral,1
l.instagram.com / referral,1
m.facebook.com / referral,1

#  
# 시작일: 20251104
# 종료일: 20251201
N일,new,returning
0000,2,0
0001,2,0
0002,2,0
0003,3,0
0004,0,0
0005,0,0
0006,2,1
0007,1,0
0008,0,0
0009,1,0
0010,3,0
0011,0,0
0012,1,0
0013,4,0
0014,0,0
0015,1,0
0016,0,0
0017,2,1
0018,0,0
0019,7,0
0020,2,0
0021,3,1
0022,3,1
0023,2,1
0024,0,0
0025,0,0
0026,1,0
0027,0,1

# 플랫폼별 활동 비교
# 시작일: 20251104
# 종료일: 20251201
플랫폼,주요 이벤트
web,298

#  
# 시작일: 20251104
# 종료일: 20251201
시/군/구,활성 사용자
Seoul,21
Boardman,5
Daejeon,2
Goyang-si,2
Ueda,2
Cheonan-si,1
Columbus,1
Dublin,1
Gimpo-si,1
Kobe,1
Namyangju-si,1
Shinjuku City,1
Suwon-si,1
Ulsan,1
Yangju-si,1

#  
# 시작일: 20251104
# 종료일: 20251201
잠재고객 이름,활성 사용자
All Users,43
